doc_id,page_no,provider,statement_type,statement_name_raw,logical_subtable_id,table_semantic_key,row_label_raw,row_label_std,col_header_raw,col_header_path,column_semantic_key,period_role_raw,report_date_raw,period_key,value_raw,value_num,value_type,unit_raw,unit_multiplier,source_cell_ref,status,mapping_code,mapping_name,mapping_method,mapping_confidence,issue_flags,fact_id,report_date_norm,period_role_norm,period_source_level,period_reason,duplicate_group_id,kept_fact_id,comparison_status,comparison_reason,source_kind,statement_group_key,source_row_start,source_row_end,source_col_start,source_col_end,mapping_relation_type,mapping_review_required,conflict_id,conflict_decision,unplaced_reason,review_id
债务人审计报告-2022年,4,aliyun_table,balance_sheet,资产负债表,0_sub1,"balance_sheet|h:资产,行次,期初数,期末数|r:流动资产,货币资金,短期投资",待摊费用,待摊费用,期初数,"[""期初数""]",期初数,期初数,2022年12月31日,2022-12-31__期初数,,,blank,元,1.0,债务人审计报告-2022年:4:aliyun_table:0:12-12:2-2,blank,ZT_027,待摊费用,exact,1.0,[],F000021,2022-12-31,期初数,page,page_exact_candidate,DUP00021,F000021,uncomparable,no_comparable_values,json,balance_sheet|资产负债表,12,12,2,2,,False,,,non_numeric_or_blank,
债务人审计报告-2022年,4,aliyun_table,balance_sheet,资产负债表,0_sub1,"balance_sheet|h:资产,行次,期初数,期末数|r:流动资产,货币资金,短期投资",待摊费用,待摊费用,期末数,"[""期末数""]",期末数,期末数,2022年12月31日,2022-12-31__期末数,,,blank,元,1.0,债务人审计报告-2022年:4:aliyun_table:0:12-12:3-3,blank,ZT_027,待摊费用,exact,1.0,[],F000022,2022-12-31,期末数,page,page_exact_candidate,DUP00022,F000022,uncomparable,no_comparable_values,json,balance_sheet|资产负债表,12,12,3,3,,False,,,non_numeric_or_blank,
债务人审计报告-2022年,4,aliyun_table,balance_sheet,资产负债表,0_sub1,"balance_sheet|h:资产,行次,期初数,期末数|r:流动资产,货币资金,短期投资",一年内到期长期债权投资,一年内到期长期债权投资,期初数,"[""期初数""]",期初数,期初数,2022年12月31日,2022-12-31__期初数,,,blank,元,1.0,债务人审计报告-2022年:4:aliyun_table:0:13-13:2-2,blank,,,,,[],F000023,2022-12-31,期初数,page,page_exact_candidate,DUP00023,F000023,uncomparable,no_comparable_values,json,balance_sheet|资产负债表,13,13,2,2,,False,,,unmapped,REV00003
债务人审计报告-2022年,4,aliyun_table,balance_sheet,资产负债表,0_sub1,"balance_sheet|h:资产,行次,期初数,期末数|r:流动资产,货币资金,短期投资",一年内到期长期债权投资,一年内到期长期债权投资,期末数,"[""期末数""]",期末数,期末数,2022年12月31日,2022-12-31__期末数,,,blank,元,1.0,债务人审计报告-2022年:4:aliyun_table:0:13-13:3-3,blank,,,,,[],F000024,2022-12-31,期末数,page,page_exact_candidate,DUP00024,F000024,uncomparable,no_comparable_values,json,balance_sheet|资产负债表,13,13,3,3,,False,,,unmapped,REV00004
债务人审计报告-2022年,4,aliyun_table,balance_sheet,资产负债表,0_sub1,"balance_sheet|h:资产,行次,期初数,期末数|r:流动资产,货币资金,短期投资",其他流动资产,其他流动资产,期初数,"[""期初数""]",期初数,期初数,2022年12月31日,2022-12-31__期初数,1，814，434.76,1814434.76,amount,元,1.0,债务人审计报告-2022年:4:aliyun_table:0:14-14:2-2,observed,ZT_030,其他流动资产,exact,1.0,[],F000025,2022-12-31,期初数,page,page_exact_candidate,DUP00025,F000025,equal,normalized_values_equal,json,balance_sheet|资产负债表,14,14,2,2,,False,,,,
债务人审计报告-2022年,4,aliyun_table,balance_sheet,资产负债表,0_sub1,"balance_sheet|h:资产,行次,期初数,期末数|r:流动资产,货币资金,短期投资",其他流动资产,其他流动资产,期末数,"[""期末数""]",期末数,期末数,2022年12月31日,2022-12-31__期末数,,,blank,元,1.0,债务人审计报告-2022年:4:aliyun_table:0:14-14:3-3,blank,ZT_030,其他流动资产,exact,1.0,[],F000026,2022-12-31,期末数,page,page_exact_candidate,DUP00026,F000026,uncomparable,no_comparable_values,json,balance_sheet|资产负债表,14,14,3,3,,False,,,non_numeric_or_blank,
债务人审计报告-2022年,4,aliyun_table,balance_sheet,资产负债表,0_sub1,"balance_sheet|h:资产,行次,期初数,期末数|r:流动资产,货币资金,短期投资",流动资产合计,流动资产合计,期初数,"[""期初数""]",期初数,期初数,2022年12月31日,2022-12-31__期初数,1，432，188，751.16,1432188751.16,amount,元,1.0,债务人审计报告-2022年:4:aliyun_table:0:15-15:2-2,observed,ZT_031,流动资产合计,exact,1.0,[],F000027,2022-12-31,期初数,page,page_exact_candidate,DUP00027,F000027,equal,normalized_values_equal,json,balance_sheet|资产负债表,15,15,2,2,,False,,,,
债务人审计报告-2022年,4,aliyun_table,balance_sheet,资产负债表,0_sub1,"balance_sheet|h:资产,行次,期初数,期末数|r:流动资产,货币资金,短期投资",流动资产合计,流动资产合计,期末数,"[""期末数""]",期末数,期末数,2022年12月31日,2022-12-31__期末数,2，029，298，849.12,2029298849.12,amount,元,1.0,债务人审计报告-2022年:4:aliyun_table:0:15-15:3-3,observed,ZT_031,流动资产合计,exact,1.0,[],F000028,2022-12-31,期末数,page,page_exact_candidate,DUP00028,F000028,equal,normalized_values_equal,json,balance_sheet|资产负债表,15,15,3,3,,False,,,,
债务人审计报告-2022年,4,aliyun_table,balance_sheet,资产负债表,0_sub1,"balance_sheet|h:资产,行次,期初数,期末数|r:流动资产,货币资金,短期投资",长期投资:,长期投资,期初数,"[""期初数""]",期初数,期初数,2022年12月31日,2022-12-31__期初数,,,blank,元,1.0,债务人审计报告-2022年:4:aliyun_table:0:16-16:2-2,blank,,,candidate_only,0.723333,[],F000029,2022-12-31,期初数,page,page_exact_candidate,DUP00029,F000029,uncomparable,no_comparable_values,json,balance_sheet|资产负债表,16,16,2,2,,False,,,unmapped,REV00005
债务人审计报告-2022年,4,aliyun_table,balance_sheet,资产负债表,0_sub1,"balance_sheet|h:资产,行次,期初数,期末数|r:流动资产,货币资金,短期投资",长期投资:,长期投资,期末数,"[""期末数""]",期末数,期末数,2022年12月31日,2022-12-31__期末数,,,blank,元,1.0,债务人审计报告-2022年:4:aliyun_table:0:16-16:3-3,blank,,,candidate_only,0.723333,[],F000030,2022-12-31,期末数,page,page_exact_candidate,DUP00030,F000030,uncomparable,no_comparable_values,json,balance_sheet|资产负债表,16,16,3,3,,False,,,unmapped,REV00006
债务人审计报告-2022年,4,aliyun_table,balance_sheet,资产负债表,0_sub1,"balance_sheet|h:资产,行次,期初数,期末数|r:流动资产,货币资金,短期投资",长期股权投资,长期股权投资,期初数,"[""期初数""]",期初数,期初数,2022年12月31日,2022-12-31__期初数,,,blank,元,1.0,债务人审计报告-2022年:4:aliyun_table:0:17-17:2-2,blank,ZT_039,长期股权投资,exact,1.0,[],F000031,2022-12-31,期初数,page,page_exact_candidate,DUP00031,F000031,uncomparable,no_comparable_values,json,balance_sheet|资产负债表,17,17,2,2,,False,,,non_numeric_or_blank,
