doc_id,page_no,provider,source_file,table_id,logical_subtable_id,row_start,row_end,col_start,col_end,bbox_json,text_raw,text_clean,ocr_conf,is_empty,is_header,is_suspicious,suspicious_reason,repair_status,meta_json
债务人审计报告-2022年,4,aliyun_table,C:\Users\gater\Desktop\Python\finance\AutoFinance\outputs\aliyun_table\债务人审计报告-2022年\raw\page_0004.json,0,0_sub2,31,31,5,5,"[{""x"":814,""y"":1171},{""x"":856,""y"":1171},{""x"":856,""y"":1201},{""x"":814,""y"":1200}]",57,57,99.0,False,False,False,,raw,"{""abs_col"":5,""grid_col"":1,""grid_row"":31,""is_span_anchor"":true,""issue_flags"":[],""source_kind"":""json"",""table_cell_id"":253,""table_index"":1,""x_cell_size"":8,""y_cell_size"":38}"
债务人审计报告-2022年,4,aliyun_table,C:\Users\gater\Desktop\Python\finance\AutoFinance\outputs\aliyun_table\债务人审计报告-2022年\raw\page_0004.json,0,0_sub2,31,31,6,6,"[{""x"":856,""y"":1171},{""x"":967,""y"":1171},{""x"":966,""y"":1200},{""x"":856,""y"":1201}]",,,,True,False,False,,raw,"{""abs_col"":6,""grid_col"":2,""grid_row"":31,""is_span_anchor"":true,""issue_flags"":[],""source_kind"":""json"",""table_cell_id"":254,""table_index"":1,""x_cell_size"":8,""y_cell_size"":38}"
债务人审计报告-2022年,4,aliyun_table,C:\Users\gater\Desktop\Python\finance\AutoFinance\outputs\aliyun_table\债务人审计报告-2022年\raw\page_0004.json,0,0_sub2,31,31,7,7,"[{""x"":967,""y"":1171},{""x"":1077,""y"":1170},{""x"":1077,""y"":1200},{""x"":966,""y"":1200}]",,,,True,False,False,,raw,"{""abs_col"":7,""grid_col"":3,""grid_row"":31,""is_span_anchor"":true,""issue_flags"":[],""source_kind"":""json"",""table_cell_id"":255,""table_index"":1,""x_cell_size"":8,""y_cell_size"":38}"
债务人审计报告-2022年,4,aliyun_table,C:\Users\gater\Desktop\Python\finance\AutoFinance\outputs\aliyun_table\债务人审计报告-2022年\raw\page_0004.json,0,0_sub2,32,32,4,4,"[{""x"":613,""y"":1201},{""x"":814,""y"":1200},{""x"":814,""y"":1231},{""x"":613,""y"":1231}]",实收资本净额,实收资本净额,99.0,False,False,False,,raw,"{""abs_col"":4,""grid_col"":0,""grid_row"":32,""is_span_anchor"":true,""issue_flags"":[],""source_kind"":""json"",""table_cell_id"":260,""table_index"":1,""x_cell_size"":8,""y_cell_size"":38}"
债务人审计报告-2022年,4,aliyun_table,C:\Users\gater\Desktop\Python\finance\AutoFinance\outputs\aliyun_table\债务人审计报告-2022年\raw\page_0004.json,0,0_sub2,32,32,5,5,"[{""x"":814,""y"":1200},{""x"":856,""y"":1201},{""x"":856,""y"":1231},{""x"":814,""y"":1231}]",58,58,99.0,False,False,False,,raw,"{""abs_col"":5,""grid_col"":1,""grid_row"":32,""is_span_anchor"":true,""issue_flags"":[],""source_kind"":""json"",""table_cell_id"":261,""table_index"":1,""x_cell_size"":8,""y_cell_size"":38}"
债务人审计报告-2022年,4,aliyun_table,C:\Users\gater\Desktop\Python\finance\AutoFinance\outputs\aliyun_table\债务人审计报告-2022年\raw\page_0004.json,0,0_sub2,32,32,6,6,"[{""x"":856,""y"":1201},{""x"":966,""y"":1200},{""x"":966,""y"":1231},{""x"":856,""y"":1231}]",700，000，000.00,"700,000,000.00",99.0,False,False,False,,cleaned,"{""abs_col"":6,""grid_col"":2,""grid_row"":32,""is_span_anchor"":true,""issue_flags"":[],""source_kind"":""json"",""table_cell_id"":262,""table_index"":1,""x_cell_size"":8,""y_cell_size"":38}"
债务人审计报告-2022年,4,aliyun_table,C:\Users\gater\Desktop\Python\finance\AutoFinance\outputs\aliyun_table\债务人审计报告-2022年\raw\page_0004.json,0,0_sub2,32,32,7,7,"[{""x"":966,""y"":1200},{""x"":1077,""y"":1200},{""x"":1077,""y"":1230},{""x"":966,""y"":1231}]",700，000，000.00,"700,000,000.00",99.0,False,False,False,,cleaned,"{""abs_col"":7,""grid_col"":3,""grid_row"":32,""is_span_anchor"":true,""issue_flags"":[],""source_kind"":""json"",""table_cell_id"":263,""table_index"":1,""x_cell_size"":8,""y_cell_size"":38}"
债务人审计报告-2022年,4,aliyun_table,C:\Users\gater\Desktop\Python\finance\AutoFinance\outputs\aliyun_table\债务人审计报告-2022年\raw\page_0004.json,0,0_sub2,33,33,4,4,"[{""x"":613,""y"":1231},{""x"":814,""y"":1231},{""x"":814,""y"":1262},{""x"":613,""y"":1262}]",资本公积,资本公积,99.0,False,False,False,,raw,"{""abs_col"":4,""grid_col"":0,""grid_row"":33,""is_span_anchor"":true,""issue_flags"":[],""source_kind"":""json"",""table_cell_id"":268,""table_index"":1,""x_cell_size"":8,""y_cell_size"":38}"
债务人审计报告-2022年,4,aliyun_table,C:\Users\gater\Desktop\Python\finance\AutoFinance\outputs\aliyun_table\债务人审计报告-2022年\raw\page_0004.json,0,0_sub2,33,33,5,5,"[{""x"":814,""y"":1231},{""x"":856,""y"":1231},{""x"":856,""y"":1262},{""x"":814,""y"":1262}]",59,59,99.0,False,False,False,,raw,"{""abs_col"":5,""grid_col"":1,""grid_row"":33,""is_span_anchor"":true,""issue_flags"":[],""source_kind"":""json"",""table_cell_id"":269,""table_index"":1,""x_cell_size"":8,""y_cell_size"":38}"
债务人审计报告-2022年,4,aliyun_table,C:\Users\gater\Desktop\Python\finance\AutoFinance\outputs\aliyun_table\债务人审计报告-2022年\raw\page_0004.json,0,0_sub2,33,33,6,6,"[{""x"":856,""y"":1231},{""x"":966,""y"":1231},{""x"":966,""y"":1260},{""x"":856,""y"":1262}]",,,,True,False,False,,raw,"{""abs_col"":6,""grid_col"":2,""grid_row"":33,""is_span_anchor"":true,""issue_flags"":[],""source_kind"":""json"",""table_cell_id"":270,""table_index"":1,""x_cell_size"":8,""y_cell_size"":38}"
债务人审计报告-2022年,4,aliyun_table,C:\Users\gater\Desktop\Python\finance\AutoFinance\outputs\aliyun_table\债务人审计报告-2022年\raw\page_0004.json,0,0_sub2,33,33,7,7,"[{""x"":966,""y"":1231},{""x"":1077,""y"":1230},{""x"":1077,""y"":1260},{""x"":966,""y"":1260}]",,,,True,False,False,,raw,"{""abs_col"":7,""grid_col"":3,""grid_row"":33,""is_span_anchor"":true,""issue_flags"":[],""source_kind"":""json"",""table_cell_id"":271,""table_index"":1,""x_cell_size"":8,""y_cell_size"":38}"
债务人审计报告-2022年,4,aliyun_table,C:\Users\gater\Desktop\Python\finance\AutoFinance\outputs\aliyun_table\债务人审计报告-2022年\raw\page_0004.json,0,0_sub2,34,34,4,4,"[{""x"":613,""y"":1262},{""x"":814,""y"":1262},{""x"":814,""y"":1291},{""x"":613,""y"":1291}]",盈余公积,盈余公积,99.0,False,False,False,,raw,"{""abs_col"":4,""grid_col"":0,""grid_row"":34,""is_span_anchor"":true,""issue_flags"":[],""source_kind"":""json"",""table_cell_id"":276,""table_index"":1,""x_cell_size"":8,""y_cell_size"":38}"
债务人审计报告-2022年,4,aliyun_table,C:\Users\gater\Desktop\Python\finance\AutoFinance\outputs\aliyun_table\债务人审计报告-2022年\raw\page_0004.json,0,0_sub2,34,34,5,5,"[{""x"":814,""y"":1262},{""x"":856,""y"":1262},{""x"":856,""y"":1291},{""x"":814,""y"":1291}]",60,60,99.0,False,False,False,,raw,"{""abs_col"":5,""grid_col"":1,""grid_row"":34,""is_span_anchor"":true,""issue_flags"":[],""source_kind"":""json"",""table_cell_id"":277,""table_index"":1,""x_cell_size"":8,""y_cell_size"":38}"
债务人审计报告-2022年,4,aliyun_table,C:\Users\gater\Desktop\Python\finance\AutoFinance\outputs\aliyun_table\债务人审计报告-2022年\raw\page_0004.json,0,0_sub2,34,34,6,6,"[{""x"":856,""y"":1262},{""x"":966,""y"":1260},{""x"":966,""y"":1291},{""x"":856,""y"":1291}]",,,,True,False,False,,raw,"{""abs_col"":6,""grid_col"":2,""grid_row"":34,""is_span_anchor"":true,""issue_flags"":[],""source_kind"":""json"",""table_cell_id"":278,""table_index"":1,""x_cell_size"":8,""y_cell_size"":38}"
债务人审计报告-2022年,4,aliyun_table,C:\Users\gater\Desktop\Python\finance\AutoFinance\outputs\aliyun_table\债务人审计报告-2022年\raw\page_0004.json,0,0_sub2,34,34,7,7,"[{""x"":966,""y"":1260},{""x"":1077,""y"":1260},{""x"":1077,""y"":1291},{""x"":966,""y"":1291}]",,,,True,False,False,,raw,"{""abs_col"":7,""grid_col"":3,""grid_row"":34,""is_span_anchor"":true,""issue_flags"":[],""source_kind"":""json"",""table_cell_id"":279,""table_index"":1,""x_cell_size"":8,""y_cell_size"":38}"
